1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
139.61,261.77,283.57,487.87,56.8,243.68,267.41,424.51,168.84,419.65,195.24,217.77,411.79,302.69,374.32,204.78,299.17,228.24,245.63,359.84,115.87,194.16,224.14,381.34,226.63,341.73,219.91,323.14,194.07,333.7,245.63,80.53,291.76,145.69,324.14,17.67,165.27,381.34,216.88,112.15,217.77,204.85,175.4,150.24,378.38,170.89,130.99,129.64,288.88,211.99,268.73,279.88,67.04,211.99,345.99,397.56,251.15,97.75,369.25,126.8,177.0,245.63
202.99,257.52,374.63,381.65,227.38,370.52,233.88,343.57,252.03,288.71,106.86,159.76,249.53,216.49,339.54,296.45,377.23,634.79,601.93,472.22,108.78,490.44,344.26,365.23,324.39,486.06,258.73,296.2,127.88,301.36,601.93,258.43,277.33,201.17,315.99,226.02,102.52,365.23,248.28,127.16,159.76,345.86,241.47,250.98,354.01,127.62,97.88,254.87,281.9,613.88,252.61,271.54,113.94,613.88,376.48,215.69,309.68,515.71,542.44,184.58,314.16,601.93
211.65,241.72,300.32,226.27,152.7,143.14,325.13,211.45,240.82,315.55,311.92,201.69,62.91,301.37,406.87,390.9,341.68,378.91,501.22,95.16,181.04,72.15,63.2,123.14,131.63,201.1,321.8,125.12,186.59,133.52,501.22,182.81,135.9,260.77,142.29,40.91,284.13,123.14,116.95,105.19,201.69,100.26,249.61,29.69,197.9,200.68,245.24,123.55,139.25,282.55,273.06,335.68,60.19,282.55,222.14,155.6,133.74,542.9,95.3,91.22,133.0,501.22
68.8,156.38,102.92,312.09,358.91,219.07,260.83,271.17,236.89,351.0,192.21,120.53,76.62,221.62,119.04,187.92,151.35,236.71,294.18,153.13,97.97,114.86,223.62,32.24,247.72,224.2,119.79,84.9,68.72,132.71,294.18,486.44,122.21,80.58,105.15,105.85,296.67,32.24,297.71,158.35,120.53,224.16,221.4,140.58,308.06,68.08,212.38,685.98,126.72,191.44,357.84,200.54,70.02,191.44,193.02,119.92,210.04,237.3,149.65,93.96,780.87,294.18
44.43,51.38,62.6,162.62,36.04,165.93,90.75,177.14,62.9,133.56,84.07,50.23,32.7,75.17,199.41,176.13,124.54,242.71,236.79,36.25,134.46,1.38,0.96,0.0,144.08,226.26,70.73,38.55,33.67,87.19,236.79,70.5,45.82,43.71,26.52,141.43,117.24,0.0,79.16,43.1,50.23,2.1,60.96,10.22,151.68,31.93,115.35,614.66,41.97,336.55,209.92,24.54,24.13,336.55,161.56,103.07,157.23,84.7,41.74,77.44,779.59,236.79
9.4,10.81,45.9,158.96,159.05,235.07,331.32,161.39,118.89,48.98,128.89,15.01,0.59,305.84,168.5,191.8,195.7,260.76,359.66,66.97,260.41,25.47,4.87,0.0,45.96,124.79,27.22,0.58,13.44,1.19,359.66,205.43,0.62,17.5,1.9,239.42,251.14,0.0,82.73,57.35,15.01,7.52,100.53,46.4,151.81,22.69,228.61,1232.84,1.44,582.45,336.64,0.08,86.6,582.45,109.68,147.27,246.61,136.5,70.91,191.26,1233.45,359.66
0.22,0.64,3.12,205.28,131.3,52.96,109.92,173.53,4.33,36.67,155.12,42.13,0.0,103.01,42.18,221.54,47.76,111.02,201.31,1.15,137.52,0.05,0.0,0.0,2.81,115.06,1.99,0.0,0.0,0.0,201.31,173.46,0.0,0.29,0.0,24.15,120.74,0.0,30.05,60.59,42.13,0.0,5.37,2.89,202.66,0.0,97.13,527.93,0.0,398.54,158.23,0.23,96.6,398.54,94.07,15.99,53.69,32.19,0.24,58.42,461.57,201.31
12.4,55.18,47.82,340.61,274.11,198.05,68.72,270.38,456.7,45.78,49.87,25.06,0.0,62.6,31.71,90.06,48.81,39.12,61.09,5.11,37.04,1.42,116.8,0.42,0.87,271.75,71.98,0.15,5.65,16.65,61.09,274.66,13.03,13.91,0.0,68.49,47.84,0.42,24.01,123.24,25.06,1.61,266.33,4.82,309.13,2.94,65.56,247.15,5.27,177.66,65.38,0.0,79.21,177.66,239.95,19.91,197.94,28.49,1.21,16.08,211.93,61.09
67.37,184.66,184.1,425.89,260.29,270.93,423.05,371.75,249.87,136.76,287.13,162.23,1.94,418.02,441.29,206.09,271.66,147.19,147.09,32.06,117.32,0.0,3.86,0.0,45.94,89.64,206.65,2.95,108.26,204.9,147.09,277.64,126.85,95.24,35.08,141.21,124.66,0.0,73.99,173.65,162.23,0.0,265.99,8.36,385.63,111.66,138.7,78.25,110.33,141.07,198.23,101.71,159.03,141.07,100.19,103.38,234.6,89.4,21.34,43.88,108.3,147.09
221.11,297.1,344.17,550.13,214.77,457.4,435.74,542.52,172.35,588.75,465.04,95.14,49.35,383.07,360.56,260.17,290.42,297.49,345.82,103.75,72.13,110.16,201.15,137.87,85.94,326.55,323.24,73.77,116.31,253.79,345.82,240.37,254.47,266.74,154.6,162.09,428.75,137.87,59.17,240.12,95.14,167.77,190.1,104.84,547.11,130.61,435.74,49.3,289.52,180.83,191.4,547.26,241.93,180.83,252.0,273.02,446.81,509.87,123.41,89.38,25.34,345.82
