1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-6.149,,,,,,,,,,0.138,,,,,,-8.982,,,,-5.439,-4.119,,,0.414,,,,,,,,-1.31,,-4.455,,,,,,,,,,,,,,,,,,,,-5.118,,,,,-8.024,,
-4.779,-4.497,,-3.31,-4.135,,,-4.558,,,-2.677,-4.17,,,-3.699,,,-4.675,,,-7.487,-4.18,,,1.492,,-4.058,,,-2.509,-2.598,-2.617,-2.94,-4.786,-4.077,,,-4.726,,-2.42,,-4.184,,,,,,,,,,,,,-5.416,,,,,,,
-3.993,,,,-1.885,-2.554,-2.137,-4.281,,,-3.891,-1.317,,,-3.487,,-4.579,-2.26,,-3.783,-6.163,-3.45,,,-2.038,,,-4.546,-3.665,-4.545,,,,-3.286,-4.209,,,-1.262,-3.76,-1.549,,,,,,,,,,,,,,,-4.501,,,,,,,
-8.146,-5.351,-7.102,,-3.819,,-7.247,-11.476,,,-5.516,-4.165,,,,-8.848,-5.371,-5.132,,-4.441,-3.553,-1.944,,,-6.601,,,-2.655,-3.938,-2.778,-2.964,-8.948,,-2.996,,,,,-5.495,-6.471,,,,,,,,,,,,,,,-5.011,,,,,,,
-4.883,-6.468,,,,,-6.631,,,,-6.786,0.062,,,,-3.33,-13.136,,-8.118,,-10.554,-0.525,,,-4.184,,-4.069,-1.45,,,,-4.346,,,-4.188,,,,,,,-3.714,,,,,,,,,,,,,,,,,,,,
-4.461,-5.123,-4.278,-8.459,,,,,,-3.811,0.124,-3.47,,,,,-7.637,,-4.515,,-7.742,,,,-0.637,,-3.182,,-6.419,-2.164,-2.977,-7.137,-1.923,,-3.997,,,,,,,,,,,,-7.685,,,,,,,,-8.787,,,,,,,
-3.42,,,-4.179,,,,,,,,,,,,,,,,,-5.155,,,,,,-2.269,-0.361,,,,,,,-2.089,,,,,-5.64,,,,,,,,,,,,,,,-3.391,,,,,,,
-3.787,,,,,,,,,,,,,,,,,,,,-8.524,,,,,,,,,,,,,,,,,,,-1.513,,,,,,,,,,,,,,,,,,,,,,
,,0.071,,-5.645,-5.659,,-4.978,,,,,,,,,,,-1.203,,,,,,,,,,,,-1.947,,,-1.376,,,,,,-6.886,,,,,,,,,,,,,,,-8.788,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-12.867,,,,,,,,,,,,,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-10.906,,,,-3.521,,,,-7.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-3.404,,-6.645,,-2.224,,,,-4.076,,-3.983,,,,,-3.803,-2.909,0.417,,,,,,,,,-3.583,,-2.689,,-1.648,-1.615,,,,,,,,,-2.312,,-6.455,,,,,,-3.278,,,,,,,,,-6.67,,,
-5.653,-5.729,-5.138,-6.638,-2.617,-2.145,,,,-9.63,-3.841,-7.903,,-5.82,,,,-1.185,-0.749,,-4.801,-6.756,,-0.062,,-5.441,,-9.124,-6.49,-5.032,-2.87,-1.702,,-5.838,,,,,,,,-5.991,,-5.442,,-1.396,,,,,-1.882,-3.913,,,,,,,-5.802,,,
-6.703,-5.839,-9.207,-6.398,-1.344,0.155,,,,-9.38,-9.253,-9.79,,-3.431,,-2.469,-5.389,,,-5.246,-3.621,-0.083,,1.006,,-3.959,,-4.749,-2.85,-5.061,0.271,-2.166,-5.299,-6.177,,,,,-5.515,,,-3.203,,-2.593,,-4.341,,,,,-5.216,-6.785,,,,,,,-6.547,,,
-8.494,,,-5.561,,,,,,-9.663,-7.828,-7.962,-3.819,-5.914,-4.797,-5.722,,,,,-4.39,-3.166,,,-0.796,-5.424,-7.179,-5.418,,-7.563,0.533,,,-7.244,,,,,,,,-0.958,-11.356,-4.671,,-2.898,,,,,-0.925,-7.807,,,,,,,,,,
-4.629,,,,,,,,,,,,,-8.277,-7.841,-4.398,,,,,,,,,,-6.631,,-0.641,,,-0.966,,,,,,,,,,,-2.279,-7.258,,,-7.239,,,,,-7.15,-2.589,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-3.219,,,,,,,,,,,,,,,,,,,,,,-4.361,,,,,,,,,,,,,,,,-4.496,,,
,,,,,,,,,,,,,,,,,,,,-6.314,,,,,,,,,,,,,,,,,,,,,,-5.921,,,-1.918,,,,,,,,,,,,,,,,
,0.349,-3.118,-9.12,-5.723,,,-4.79,,,,-4.16,,-1.781,,,,-6.494,,0.395,,-2.009,,,,-4.67,-0.456,,,-2.424,,-3.695,-0.791,-3.181,-0.292,,,,,-1.891,,,,-2.029,,-1.092,-5.996,-2.304,,-8.855,,,,,,,,,,,,
-2.422,-2.974,-4.075,-5.379,-6.093,-3.293,,-7.081,,-6.944,-3.239,-4.848,-0.682,-4.234,-5.94,-2.56,,-6.348,,-2.577,,,-3.455,,-1.955,-15.351,-3.835,,-2.724,-3.465,-6.544,-5.748,-4.958,-4.702,-2.727,,,,,-3.741,,,,-2.603,,0.02,-4.09,-3.677,,,-7.661,-1.866,,,,,,,,,,
-11.031,-10.483,-11.9,-6.257,-5.701,-4.829,-2.851,,,-8.625,-6.02,-2.617,-6.279,-6.356,-9.864,-8.015,,-7.971,-6.426,-3.789,,-4.539,-5.365,,-5.226,-7.338,-7.604,-6.47,-8.53,-8.811,-6.759,-2.688,-6.032,-10.352,-9.038,,,,-7.161,-6.158,,-1.197,,-4.172,-4.212,-5.43,-8.098,,,,-7.717,-4.71,,,,,,,,,,
-6.421,,,-10.176,-7.528,,,,,-11.532,-6.397,-5.63,,-2.964,-3.604,,-6.969,-12.758,,,,,,,,,-9.458,,-6.874,,,,,,-5.626,,,,,,-6.798,-1.593,,,-4.802,,,,,,-10.703,-1.672,,,,,,,,,,
-6.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.781,,,,,,-4.675,,,,,,-1.124,,,-0.835,-8.931,-5.208,,-5.956,,,,,,,-10.411,,,,,-7.36,,,,,,,,,,,,,,-3.94,-6.114,,,-6.936,,,,,,,,,,,,
,-8.119,-3.188,-7.363,-5.163,-6.451,-8.889,-8.069,-7.148,-8.943,-3.229,-6.195,-2.359,-8.539,-7.828,-5.882,-7.836,-9.9,-7.484,-6.771,-7.976,-2.294,,,1.288,-5.337,-5.539,-3.909,-6.111,-2.503,-9.216,-7.875,,-7.194,,,-6.38,,-6.512,-6.176,,,,-4.852,-4.654,-5.864,-8.408,,-4.599,-9.156,-6.83,,,,,,,,,,,
,-6.628,-8.413,-7.178,-5.068,-6.058,-6.141,-6.657,-5.832,-6.041,-6.79,-1.43,-3.109,-5.738,-5.288,,,-9.215,-8.341,-10.74,-11.051,-3.227,-9.828,,-6.771,-8.368,-4.995,-3.929,-1.966,-5.064,-9.047,-4.55,,-3.66,,,-10.633,,-6.103,,-4.895,-7.11,,-5.496,-4.648,-3.273,-11.484,-5.276,-5.802,-8.345,-7.752,-3.697,,,,,,,-10.539,,,
-6.936,-1.684,-5.136,-6.218,-7.349,-7.717,-7.929,-8.754,-5.417,-6.524,-4.866,-8.414,-2.935,-9.599,-4.915,,,-9.049,-8.185,,-9.163,-0.748,-1.523,,-0.994,-6.661,,,-6.074,-4.323,-9.151,,,-3.263,,,-9.825,,-4.237,,-5.774,,,-1.651,-7.198,-2.75,,-3.866,0.142,-9.714,-6.455,-0.017,,,,,,,-3.348,,,
,,,-9.691,,,,,,-3.615,-4.049,,,-8.57,,,,,,,-9.118,,,,,-7.088,,,,,,,,0.047,,,,,,,-0.694,,,-1.177,,,,,,-7.808,-8.065,,,,,,,,,,,
,,,-6.493,-8.837,-1.818,,,-4.215,,,,,,,,-4.621,-5.163,,,,-0.983,,,,,,,,,-4.74,-5.136,-0.579,-0.36,,-5.436,,,,-6.269,-8.899,,,,,,,,,,,,-6.683,-5.653,,,,,,,,
-2.567,0.963,-2.633,-6.339,-6.988,0.161,-2.803,-7.162,0.099,-5.981,-1.99,,,-3.104,-3.727,-2.019,-3.978,-3.103,-2.68,-2.269,-5.058,,,,,-4.003,-1.109,,-1.087,-1.708,-3.552,-8.826,,-2.057,,-6.317,-2.558,,-2.592,-6.233,1.661,,-3.305,,,,,,,-5.01,-4.202,-0.574,-9.539,-4.148,-5.016,-3.727,-3.942,,,,,
-4.707,-4.119,-5.11,-8.588,-8.08,-8.238,-9.129,-9.459,-7.281,-10.648,-7.484,,1.19,-7.67,-1.691,-3.899,-6.539,-5.0,-3.094,-3.666,,-1.416,-0.024,,0.569,-6.812,-4.387,-2.749,-3.722,-2.408,-4.481,,-4.149,-3.778,,-4.928,-2.968,-1.395,,-8.288,-10.204,,-9.738,-2.257,,-2.71,,,,-3.856,-6.506,-3.377,-10.223,-4.593,-8.337,-6.495,-9.552,-4.672,,,,
-6.251,-5.222,-7.28,-9.248,-6.973,,-8.403,,,-10.952,-6.636,,-1.84,-7.843,-7.946,,,,-5.168,-8.227,,,,,,-4.818,-7.532,,,-6.215,-3.381,,,,-6.56,,-3.785,,,,-8.097,,,-4.025,,,,,,-5.724,-4.957,-3.899,,-5.221,-7.374,-7.624,,-4.909,,,,
