1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-80.286,,,,,,,,,,,,,,,,,,,,-99.547,,,,,,,,,,,,,,,,,,,-27.851,,,,,,,,,,,,,,,,,,,,-22.79,,
-35.815,,,,,,,,,,2.034,,,,,,-63.895,,,,-42.048,-24.693,,,-3.255,,,,,,,,-16.063,,-24.258,,,,,,,,,,,,,,,,,,,,-33.971,,,,,-53.438,,
-26.157,-26.372,,-14.876,-23.605,,,-24.187,,,-19.552,-30.627,,,-22.789,,,-29.441,,,-54.259,-24.956,,,2.662,,-22.441,,,-12.904,-20.739,-17.658,-20.745,-27.177,-23.774,,,-29.849,,-9.807,,-26.552,,,,,,,,,,,,,-34.779,,,,,,,
-19.082,,,,-4.766,-23.088,-8.484,-27.466,,,-29.405,-10.783,,,-22.295,,-28.339,-9.761,,-19.929,-50.868,-20.529,,,-13.401,,,-24.236,-19.831,-26.62,,,,-16.534,-22.946,,,-14.563,-19.259,-4.803,,,,,,,,,,,,,,,-24.661,,,,,,,
-51.048,-30.448,-38.843,,-19.267,,-46.239,-79.206,,,-39.523,-34.66,,,,-69.741,-45.237,-31.76,,-24.457,-24.597,-7.104,,,-40.615,,,-8.783,-20.231,-11.228,-11.087,-57.767,,-15.39,,,,,-37.103,-40.705,,,,,,,,,,,,,,,-31.642,,,,,,,
-25.938,-36.417,,,,,-39.702,,,,-50.288,-2.188,,,,-23.636,-97.457,,-59.278,,-78.13,-1.029,,,-31.242,,-24.34,-2.908,,,,-25.463,,,-23.26,,,,,,,-18.456,,,,,,,,,,,,,,,,,,,,
-25.657,-32.483,-25.059,-60.166,,,,,,-32.875,-1.356,-30.838,,,,,-53.635,,-36.901,,-52.449,,,,-13.321,,-17.131,,-46.157,-13.196,-25.782,-50.571,-9.368,,-23.911,,,,,,,,,,,,-57.049,,,,,,,,-63.608,,,,,,,
-13.44,,,-27.485,,,,,,,,,,,,,,,,,-29.676,,,,,,-7.915,7.402,,,,,,,-13.489,,,,,-45.479,,,,,,,,,,,,,,,-33.818,,,,,,,
-16.844,,,,,,,,,,,,,,,,,,,,-59.749,,,,,,,,,,,,,,,,,,,-21.33,,,,,,,,,,,,,,,,,,,,,,
,,-8.279,,-34.465,-33.296,,-35.092,,,,,,,,,,,-11.817,,,,,,,,,,,,-12.612,,,-0.9,,,,,,-53.4,,,,,,,,,,,,,,,-62.44,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-49.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-41.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-28.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-54.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-91.951,,,,,,,,,,,,,-4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-77.486,,,,-20.776,,,,-44.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-15.969,,-46.901,,-15.364,,,,-21.076,,-26.245,,,,,-21.208,-8.228,3.936,,,,,,,,,-17.587,,-19.358,,-13.161,-0.72,,,,,,,,,-25.147,,-49.472,,,,,,-21.499,,,,,,,,,-45.618,,,
-31.994,-40.022,-25.776,-40.02,-11.737,-11.404,,,,-65.34,-29.4,-58.487,,-39.133,,,,0.56,-2.824,,-41.091,-44.598,,1.597,,-40.899,,-60.456,-41.305,-32.274,-15.31,-8.74,,-37.737,,,,,,,,-36.673,,-33.304,,-13.428,,,,,-9.905,-22.561,,,,,,,-37.431,,,
-41.353,-38.112,-58.858,-45.382,0.379,0.079,,,,-65.002,-71.577,-71.982,,-22.707,,-16.506,-37.072,,,-30.467,-26.286,1.69,,6.06,,-22.039,,-24.459,-23.945,-32.045,5.741,-12.505,-43.959,-40.688,,,,,-37.052,,,-26.168,,-4.985,,-38.067,,,,,-34.381,-43.615,,,,,,,-49.406,,,
-56.933,,,-31.326,,,,,,-64.574,-65.694,-52.859,-26.026,-40.173,-34.448,-45.877,,,,,-44.354,-13.687,,,-12.128,-38.26,-49.451,-29.191,,-49.277,2.234,,,-51.451,,,,,,,,4.192,-77.452,-22.498,,-26.164,,,,,-0.275,-51.44,,,,,,,,,,
-25.984,,,,,,,,,,,,,-60.028,-51.707,-37.872,,,,,,,,,,-42.153,,-5.024,,,-3.564,,,,,,,,,,,-10.883,-44.526,,,-50.391,,,,,-44.141,-17.902,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,-27.917,,,,,,,,,,,,,,,,,,,,,,-28.456,,,,,,,,,,,,,,,,-20.71,,,
,,,,,,,,,,,,,,,,,,,,-43.516,,,,,,,,,,,,,,,,,,,,,,-41.768,,,0.446,,,,,,,,,,,,,,,,
,1.941,-22.073,-65.358,-35.26,,,-28.605,,,,-29.346,,-17.42,,,,-43.469,,3.999,,-2.835,,,,-29.353,2.717,,,-12.978,,-24.286,-2.59,-14.935,-0.589,,,,,-19.702,,,,-2.558,,-5.589,-36.849,-18.214,,-61.38,,,,,,,,,,,,
-12.922,-20.146,-16.823,-31.333,-38.054,-26.879,,-44.635,,-45.85,-19.248,-34.833,-9.894,-29.862,-40.459,-16.305,,-39.159,,-15.834,,,-15.153,,-11.294,-109.732,-16.439,,-16.621,-20.84,-48.03,-33.937,-39.73,-35.762,-14.879,,,,,-24.845,,,,-9.809,,-5.322,-26.103,-21.695,,,-52.736,-9.031,,,,,,,,,,
-76.041,-76.042,-82.077,-38.389,-35.547,-39.254,-17.516,,,-58.282,-44.678,-12.222,-41.301,-42.453,-66.377,-59.388,,-53.44,-52.01,-29.682,,-25.782,-33.694,,-38.013,-46.42,-48.796,-42.04,-59.243,-58.767,-50.308,-14.446,-40.262,-73.512,-59.762,,,,-45.836,-42.044,,1.233,,-22.101,-32.749,-45.968,-54.492,,,,-53.795,-24.655,,,,,,,,,,
-45.969,,,-70.416,-50.143,,,,,-82.988,-44.85,-34.794,,-13.241,-21.483,,-46.738,-88.898,,,,,,,,,-64.732,,-56.771,,,,,,-32.273,,,,,,-50.054,-0.281,,,-43.071,,,,,,-74.08,-4.446,,,,,,,,,,
-39.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-57.539,,,,,,-38.003,,,,,,-12.262,,,-8.771,-58.389,-28.792,,-34.082,,,,,,,-75.573,,,,,-51.721,,,,,,,,,,,,,,-31.002,-43.009,,,-46.975,,,,,,,,,,,,
,-57.486,-11.248,-47.507,-31.595,-43.447,-59.841,-54.369,-48.32,-59.803,-25.066,-42.219,-11.269,-59.222,-53.668,-47.005,-44.563,-67.378,-54.502,-47.367,-51.064,-7.697,,,2.954,-32.39,-36.958,-26.316,-39.281,-7.192,-64.559,-47.427,,-49.237,,,-44.766,,-40.441,-38.778,,,,-26.789,-35.41,-39.718,-56.47,,-25.429,-63.24,-42.4,,,,,,,,,,,
,-50.307,-54.282,-43.243,-28.184,-37.43,-43.536,-35.352,-42.038,-42.659,-47.099,-11.662,-17.75,-41.449,-45.509,,,-64.448,-65.124,-77.671,-84.27,-13.586,-68.469,,-46.945,-54.101,-32.531,-24.285,-15.824,-35.822,-64.457,-28.122,,-30.189,,,-78.91,,-42.804,,-36.29,-45.712,,-34.489,-31.771,-31.221,-82.668,-37.7,-38.733,-61.011,-58.322,-23.303,,,,,,,-76.654,,,
-42.046,-16.907,-27.496,-37.705,-46.236,-60.377,-56.12,-57.015,-34.475,-42.901,-38.666,-56.151,-12.715,-66.627,-36.545,,,-65.393,-64.36,,-64.491,3.686,0.125,,-13.246,-44.797,,,-37.773,-32.347,-63.587,,,-17.528,,,-69.308,,-25.435,,-37.384,,,-2.873,-58.345,-24.016,,-36.626,1.038,-68.903,-45.69,3.284,,,,,,,-27.848,,,
,,,-66.114,,,,,,-19.981,-24.275,,,-63.52,,,,,,,-65.033,,,,,-49.522,,,,,,,,6.216,,,,,,,-2.804,,,1.721,,,,,,-56.856,-51.262,,,,,,,,,,,
,,,-37.686,-58.341,-12.181,,,-28.886,,,,,,,,-26.876,-29.178,,,,2.314,,,,,,,,,-24.376,-35.698,4.542,-11.91,,-33.858,,,,-40.497,-65.282,,,,,,,,,,,,-41.888,-34.568,,,,,,,,
-6.269,13.44,-4.243,-37.049,-43.844,-2.616,-17.968,-43.18,-2.672,-31.955,-11.735,,,-20.603,-21.716,-18.95,-18.179,-15.374,-14.922,-7.105,-28.392,,,,,-21.906,3.001,,-1.2,-1.274,-16.059,-65.706,,-13.962,,-37.913,-12.188,,-7.693,-35.678,10.214,,-14.77,,,,,,,-28.458,-21.639,5.233,-63.845,-23.03,-28.795,-23.372,-23.273,,,,,
-31.312,-21.892,-25.018,-57.671,-56.206,-61.103,-60.792,-62.123,-57.476,-79.285,-57.196,,11.276,-54.568,-10.865,-32.115,-40.935,-26.935,-18.472,-20.896,,-0.222,3.215,,2.093,-47.429,-25.827,-7.218,-22.004,-7.98,-22.941,,-21.289,-22.377,,-31.454,-12.376,-4.865,,-54.137,-75.015,,-66.572,-5.051,,-21.284,,,,-18.996,-45.349,-13.868,-68.292,-25.702,-53.385,-44.758,-70.056,-24.786,,,,
-35.975,-35.525,-45.286,-64.77,-44.704,,-59.485,,,-74.761,-60.266,,-9.572,-59.816,-57.534,,,,-32.838,-52.228,,,,,,-28.494,-46.178,,,-39.109,-15.759,,,,-39.761,,-18.101,,,,-59.202,,,-16.006,,,,,,-34.399,-32.847,-20.259,,-31.69,-45.921,-60.5,,-33.559,,,,
